"1027858"|"2014-02-26"|"Trenta esuberi all'Alphacan nonostante i nuovi progetti "|"Non sono buone notizie quelle che arrivano dall'«Alphacan» di Arco. Lunedì, in Confindustria a Trento, i vertici aziendali della multinazionale francese con in testa l'ad Lucciotti, hanno illustrato ai rappresentanti sindacali le prospettive future dello stabilimento arcense. Al di là dei ragionamenti sui futuri assetti azionari derivati dalla cessione da parte della proprietà, riferita al gruppo \"KemOne\", della divisione profili pvc e, ad oggi, non ancora definita, l'Alphacan di Arco (120 dipendenti) ha annunciato un progetto di ristrutturazione. Il piano prevede, nell'arco di 12 mesi, il trasferimento in Francia di un reparto produttivo (\"estrusione\" ad oggi con 30 dipendenti), il potenziamento dell'attività di rivestimento (finutura estetica) per recuperare marginalità con un investimento di 420 mila euro e l'avvio di una nuova linea per fornire profili satinati e verniciati che utilizzerà una tecnologia innovativa per lo stampaggio dei profili con un investimento di 200 mila euro. Inoltre, è prevista la partenza di un progetto di ricerca e sviluppo (800 mila euro) per un prototipo di personalizzazione dei profili da attuare entro il primo trimestre 2015. In questo contesto si genera però un esubero occupazionale di 30 unità; rispetto a ciò l'azienda ha dichiarato ai sindacati la propria disponibilità a predisporre un adeguato «piano sociale di gestione degli esuberi». «Si è creata una situazione complessa che coinvolge in contemporanea il processo di cessione e l'avvio di una ristrutturazione - commenta Mario Cerutti, della Filctem Cgil - il tutto in un momento di crisi. All'azienda abbiamo chiesto di conoscere nel dettaglio il piano industriale futuro e di discutere nel merito degli esuberi, anche sotto il profilo degli ammortizzatori sociali (cassa integrazione ordinaria, straordinaria e mobilità). A questo punto, vista la situazione, si ritiene opportuno anche un coinvolgimento dell'assessore provinciale all'industria, Alessandro Olivi, e allo scopo invieremo, unitariamente, una specifica richiesta di incontro». Anche Alan Tancredi, segretario generale della la Uiltec-Uil in Trentino commenta le cattive notizie che arrivano dalla storica fabbrica arcense: «Abbiamo ricevuto comunicazione dalla direzione di \"Alphacan\" di una nuova riorganizzazione in seno alla multinazionale che la controlla - scrive - la notizia è l'ennesima dichiarazione di esuberi nel settore industriale trentino. La deriva industriale continua inarrestabile. Continue perdite occupazionali e perdite retributive. In questo caso trenta nuovi esuberi. Questo il dato. La Uiltec è molto preoccupata per la spirale negativa inarrestabile che sta indebolendo il tessuto sociale». «La paventata collocazione del settore estrusione in stabilimenti francesi - dice Marco Ravelli, segretario generale Femca Cisl del Trentino - porterà inevitabilmente esuberi di personale che, anche in considerazione del periodo particolarmente difficile che anche il nostro territorio sta attraversando, avrà oggettive difficoltà di ricollocazione nel mercato del lavoro. Bene una linea programmatica aziendale che miri ad attuare strategie volte a migliorare la produzione ed i servizi incrementando la propria concorrenzialità sul mercato purché ciò non porti a riduzione del personale o alla costrizione di trasferimenti del personale all'estero». "
"1044041"|"2014-03-02"|"IN BREVE "|"I ALTO GARDA Le farmacie in servizio domenicale A disposizione fuori orario le farmacie del Rione (550509), di Vezzano (0461-864032) e in appoggio la Redi di Arco (516214). "
"1064465"|"2014-03-09"|"ALTO GARDA E LEDRO FARMACIE IN SERVIZIO "|" - Sono a disposizione fuori orario le farmacie Accorsi di Riva (0464-552302) e Comunale di Tenno (0464-503042). In appoggio la farmaciaVenezian di Arco (0464 519080). "
"1093819"|"2014-03-20"|"Pensionati a Torino "|"Il circolo pensionati di Arco organizza per sabato 5 aprile una gita sociale in pullman alla Reggia di Venaria Reale a Torino. Partenza alle 5.30 del mattino, rientro in serata. Pranzo, visita ai giardini, soste. Costo 60 euro. Entro il 31 marzo. "
"1095737"|"2014-03-21"|"FARMACIE IN SERVIZIO NELL'ALTO GARDA "|" - Dalle 19 a disposizione fuori orario le farmacie Bettinazzi di Arco (tel. 0464516171) e Chinaglia di Torbole (0464-505440). "
"1098434"|"2014-03-22"|"ALTO GARDA E LEDRO FARMACIE DI TURNO "|" - Le farmacie di turno notturno e fuori orario nell'Alto Garda e Ledro sono la Bettinazzi di Arco (0464 516171) e la Chinaglia di Torbolesul Garda (0464 505440). Presta servizio, in appoggio, con normale orario, la farmacia diVarone (0464 551195) "
"11123337"|"2018-06-09"|"Due assunzioni in Apss "|"L'Azienda per i servizi sanitari, sede di Arco, ha indetto un avviso di selezione negli enti pubblici per due posti a tempo indeterminato (qualifica operatore tecnico addetto ai servizi economali) a tempo pieno. Rivolgersi al Centro per l'impiego entro il 15 giugno. "
"1113556"|"2014-03-28"|"Silvia Girelli: ora ascolto, poi darò la mia impronta "|"Alcuni hanno polemizzato per il numero «esiguo» di preferenze personali, altri invece hanno apprezzato molto la «coraggiosa» decisione di Alessandro Betta: sta di fatto che la giovane Silvia Girelli da qualche giorno fa parte della giunta arcense. Un volto nuovo per la politica locale che ha la possibilità di mettere in atto quello che ha studiato nel proprio percorso formativo e scolastico. Silvia Girelli si è diplomata al Liceo scientifico «Galileo Galilei» di Trento, prima di laurearsi alla facoltà di sociologia di Trento con tesi sui servizi socio assistenziali. Ha poi proseguito gli studi e ha conseguito poi una laurea magistrale, dove si è specializzata altresì su temi ambientali, con tesi dal titolo «educare a una gestione dei rifiuti sostenibile, la differenza si fa in classe». A lei abbiamo rivolto le nostre domande sui suoi primi giorni di mandato, sui primi passi che intenderà compiere, sui giovani, sull'ambiente, il sociale. A qualcuno non è piaciuto il fatto che lei è stata nominata assessore con poche preferenze personali. Cosa ne pensa? «Le capisco ma Betta mi ha nominato come assessore esterno - spiega - è una scelta \"tecnica\" che mira alle competenze. Io credo che il sindaco con questa decisione abbia invece dato un bel messaggio a tutti i neo-laureati della zona». Assessora a 24 anni. Se lo sarebbe mai immaginato? «Il mio professore di sociologia dell'ambiente mi aveva parlato di questo progetto \"Arco Bene Comune\", e mi aveva contatto per avere una risorsa in più. Inizialmente ero molto scettica sulle liste e sui partiti, poi le cose si sviluppano con il tempo, ho trovato un bel gruppo, entusiasta e con tanta voglia di fare. Certamente non me l'aspettavo, il mio obiettivo iniziale era quello di dare il mio contributo, poi è successo tutto nel giro di pochi giorni. L'incontro cruciale ovviamente è stato quello con il sindaco; un bellissimo colloquio». Sono i suoi primi giorni nell'esecutivo. Sensazioni, timori, metodo di lavoro... «Sto avendo molti incontri con i dirigenti per capire cosa si sta facendo e comprendere i vari aspetti: prendo molti appunti e studio. Per la verità, di studiare non ho mai smesso». Ci sono persone che le danno una mano per questi primi passi? «Sì, Massimiliano Floriani mi ha dato la sua piena disponibilità. C'è da sottolineare che ha fatto un buon lavoro e non sono qui per \"stravolgere\" nulla, ma per continuare un percorso. Poi certo, con il tempo darò la mia impronta, ma è ancora presto». Parliamo di ambiente e di raccolta differenziata. La soddisfa la raccolta attuale? Si può migliorare? «In realtà, come Comunità Alto Garda e Ledro, abbiamo una percentuale tra le più basse della provincia; come comune di Arco, siamo messi meglio da quel punto di vista. Chiaramente ci sono delle problematiche che vanno risolte, legate in particolar modo al turismo. Sono favorevole al porta a porta spinto, dato che rappresenta la soluzione migliore secondo molti studi, compreso quello del dipartimento di ingegneria dell'università di Trento. Poi bisognerebbe cercare di uniformare, almeno nei comuni limitrofi, il metodo di raccolta». Come agirebbe nel futuro al riguardo? «Bisogna riuscire a \"cambiare\" la mentalità, partendo dai bambini e dalle scuole. E necessario, a mio avviso, intervenire sull\"'atteggiamento eco-sostenibile\"». Politiche giovanili. Crede che manchino dei luoghi di aggregazione per i giovani? «Bisogna prima di tutto ascoltarli e capire eventuali criticità; penso al nuovo centro giovani come luogo dove i ragazzi possano fare piccole esperienze d'impresa». Politiche sociali: le sue priorità. «Indubbiamente il progetto più importante rimane \"l'intervento 19\"». "
"11136918"|"2018-06-11"|"DUE ASSUNZIONI IN AZIENDA SANITARIA "|"- L'Azienda per i servizi sanitari, sede di Arco, ha indetto un avviso di selezione negli enti pubblici per 2 posti, tempo indeterminato (qualifica: operatore tecnico addetto ai servizi economici) a tempo pieno. Info al centro per l'impiego entro il 15 giugno. "
"11171514"|"2018-06-14"|"Assunzioni in Apss I ALTO GARDA "|"L'Azienda per i servizi sanitari, sede di Arco, ha indetto un avviso di selezione negli enti pubblici per 2 posti, tempo indeterminato (operatore tecnico addetto ai servizi economici) a tempo pieno. Info al centro per l'impiego entro il 15 giugno. "
